Celkem,Celkem P,Bakalářské P,Magisterské P,Navazující magisterské P,Doktorské P,Celkem K,Bakalářské K,Magisterské K,Navazující magisterské K,Doktorské K,Rok
203448,168125,29030,124609,9955,6726,36639,14087,10813,2113,9796,2001
220177,179380,41821,122485,10178,7673,42336,19168,10176,2711,10474,2002
243717,195591,64465,114589,10583,9105,49920,25977,9513,3676,11016,2003
264769,207988,89855,99083,11800,10018,58842,33863,8356,5481,11474,2004
289463,223152,112822,86445,16460,10105,68681,41939,7092,7632,12276,2005
316177,238180,132778,73488,24629,9980,80772,50128,6042,11469,13381,2006
343943,251915,149150,60173,35351,9969,95340,60121,5052,16382,14057,2007
368050,263903,161171,49292,45942,10508,107980,69423,4096,20732,14043,2008
388992,277043,170884,42937,54648,11594,116289,74364,3156,25165,13951,2009
395984,283517,176313,38096,59440,12503,116744,73516,2656,27412,13462,2010
392039,284155,176340,35263,62468,12800,111978,69292,2227,27826,12904,2011
380891,281660,174803,32454,64011,12669,102757,61892,2053,26884,12175,2012
367768,277074,170535,31483,64182,12935,93953,55288,1713,25292,11835,2013
346799,263530,159144,30649,62710,12868,86142,49166,1924,23868,11381,2014
326423,249264,147922,30045,60237,12665,79806,45382,1734,21645,11238,2015
311045,236683,138365,29516,57999,12307,76838,42328,1701,22072,10915,2016
298663,227389,132748,29135,54549,12268,73491,40206,1674,21859,9904,2017
289649,222277,130653,29004,51239,12569,69313,37987,1727,20947,8815,2018
288577,224667,134336,29200,49096,13197,65904,36399,1663,20266,7711,2019
298986,235512,142342,30117,49729,14631,65701,37018,1697,20190,7017,2020
303633,241550,146399,30788,50696,14974,64287,36571,1724,19771,6403,2021
304518,246332,150515,31431,50911,14794,60276,34235,1807,18630,5748,2022
